data_hora,sevidor_nm_site_iis,servidor_nm,servidor_ip,requisicao_method,requisicao_recurso,requisicao_query,requisicao_port,requisicao_usuario,cliente_ip,requisicao_protocolo,requisicao_url_origem,servidor_nm_site,requisicao_cod_resposta,requisicao_dados_enviados,requisicao_dados_recebidos,requisicao_tempo_resposta,arquivo,os_family,os_version,device_family,device_model,device_brand,browser_family,browser_version,cliente_pais
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/css/font-awesome.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,8661.0,948.0,31.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/datatables.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1525.0,950.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/bootstrap-duallistbox.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1077.0,961.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,22186.0,949.0,62.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Buttons-1.1.2/css/buttons.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1061.0,975.0,0.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/AutoFill-2.1.1/css/autoFill.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1077.0,977.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/ColReorder-1.3.1/css/colReorder.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,581.0,981.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Chartist/chartist.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,2437.0,957.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/FixedHeader-3.1.1/css/fixedHeader.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,613.0,983.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
2021-02-22 15:16:39,W3SVC6,SEED-APLIC-002,172.25.76.74,GET,/sistemas/inscricoesg/Content/Responsive-2.0.2/css/responsive.bootstrap.min.css,-,443,-,10.24.1.143,HTTP/1.1,https://intranet.seduc.se.gov.br/sistemas/inscricoesg,intranet.seduc.se.gov.br,200.0,1493.0,981.0,15.0,u_ex21022218.log,Windows,,Other,,,Chrome,88.0.4324,
